2020 포드 브롱코 4도어,포드,가격정보없음,I4,싱글터보,2198cc,가솔린,정보없음,4인승,파트타임4륜구동,수동7단,270hp,42.9kg.m,정보없음,정보없음,정보없음,4810mm,1928mm,1854mm,2948mm,1651mm,1651mm,정보없음,255mm/75/17inch,255mm/75/17inch,정보없음,정보없음,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200714_17
2020 아반떼,현대자동차,1570~2453만원,I4,자연흡기,1598cc,가솔린,수동14.4km/ℓ(2등급)CVT14.9~15.4km/ℓ(2등급),5인승,전륜구동,수동6단자동(CVT),123hp,15.7kg.m,정보없음,정보없음,106.0~115.0g/km,4650mm,1825mm,1420mm,2720mm,1585~1593mm,1596~1604mm,1185~1245kg,195~205mm/55~65/15~16inch,195~205mm/55~65/15~16inch,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200407_28
2020 싼타페,현대자동차,3122~4212만원,I4,싱글터보,2151cc,디젤,DCT13.6~14.2km/ℓ(2등급~3등급),5인승,전륜구동,자동(DCT)8단,202hp,45.0kg.m,정보없음,정보없음,134.0~139.0g/km,4785~4800mm,1900mm,1685~1710mm,2765mm,1637~1646mm,1647~1656mm,1735~1770kg,235~255mm/40~60/18~20inch,235~255mm/40~60/18~20inch,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200630_21
2021 G80,제네시스,5291~6214만원,I4,싱글터보,2497cc,가솔린,자동10.8km/ℓ(4등급),5인승,후륜구동,자동8단,304hp,43.0kg.m,정보없음,정보없음,157.0g/km,4995mm,1925mm,1465mm,3010mm,1627mm,1659mm,1785kg,245mm/50/18inch,245mm/50/18inch,멀티링크,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200330_14
2021 셀토스,기아자동차,1934~2896만원,I4,싱글터보,1591cc,가솔린,DCT11.8~12.7km/ℓ(3등급),5인승,전륜구동,자동(DCT)7단,177hp,27.0kg.m,정보없음,정보없음,132.0~143.0g/km,4375mm,1800mm,1600~1620mm,2630mm,1563~1575mm,1560~1584mm,1345~1385kg,205~235mm/45~60/16~18inch,205~235mm/45~60/16~18inch,맥퍼슨스트럿,CTBA,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200701_13
2020 벤츠 E클래스,메르세데스-벤츠,6300~1억260만원,I4,싱글터보,1991cc,가솔린,자동10.5km/ℓ(4등급),5인승,후륜구동,자동9단,211hp,35.7kg.m,정보없음,정보없음,165.0g/km,4925mm,1850mm,1450mm,2940mm,1599mm,1604mm,1665kg,245mm/45/18inch,245mm/45/18inch,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200131_69
2020 볼보 XC60,볼보,6260~7540만원,l4,트윈터보,1969cc,디젤,자동11.7km/ℓ(3등급),5인승,풀타임4륜구동,자동8단,235hp,48.9kg.m,220km/h,7.2초,165.0g/km,4690mm,1900mm,1645mm,2865mm,정보없음,정보없음,1970kg,235~255mm/45~55/19~20inch,235~255mm/45~55/19~20inch,더블위시본,인테그랄엑슬,디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20171218_13
2020 볼보 XC40,볼보,4620~5080만원,l4,싱글터보,1969cc,가솔린,자동10.3km/ℓ(4등급),5인승,풀타임4륜구동,자동8단,190hp,30.6kg.m,210km/h,8.5초,168.0g/km,4425mm,1875mm,1640mm,2702mm,정보없음,정보없음,1740kg,235mm/50~55/18~19inch,235mm/50~55/18~19inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20180625_21
2021 쉐보레 트레일블레이저,쉐보레,1959~2780만원,I3,싱글터보,1199cc,가솔린,CVT12.6~13.0km/ℓ(3등급),5인승,전륜구동,자동(CVT),139hp,22.4kg.m,정보없음,정보없음,130.0~135.0g/km,4410mm,1810mm,1635mm,2640mm,1553mm,1570mm,1335~1340kg,215~225mm/60~65/16~17inch,215~225mm/60~65/16~17inch,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200116_14
2021 카니발,기아자동차,가격정보없음,I4,싱글터보,2199cc,디젤,정보없음,9인승,전륜구동,자동8단,정보없음,정보없음,정보없음,정보없음,정보없음,5155mm,1995mm,1740mm,3090mm,정보없음,정보없음,정보없음,정보없음,정보없음,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200625_27
2020 그랜저,현대자동차,3172~4349만원,V6,자연흡기,2999cc,LPG,자동7.4~7.5km/ℓ(5등급),5인승,전륜구동,자동6단,235hp,28.6kg.m,정보없음,정보없음,177.0~180.0g/km,4990mm,1875mm,1470mm,2885mm,1607~1612mm,1615~1620mm,1640~1665kg,225~245mm/45~55/17~18inch,225~245mm/45~55/17~18inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20191128_16
2020 쏘렌토 하이브리드,기아자동차,3534~4388만원,I4,싱글터보,1598cc,전기가솔린,자동14.3~15.3km/ℓ(2등급),5인승,전륜구동,자동6단,180hp,27.0kg.m,230hp,정보없음,106.0~115.0g/km,4810mm,1900mm,1695~1700mm,2815mm,1646~1651mm,1656~1661mm,1775~1790kg,235mm/55~65/17~19inch,235mm/55~65/17~19inch,맥퍼슨스트럿,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200709_20
2020 BMW 5시리즈,BMW,6260~9990만원,l4,싱글터보,1998cc,가솔린,토크컨버터10.9km/ℓ(정보없음),5인승,후륜구동,토크컨버터8단,184hp,29.6kg.m,235km/h,7.8초,153.0g/km,4935mm,1860mm,1455mm,2975mm,1605mm,1630mm,1615kg,245mm/45/18inch,245mm/45/18inch,더블위시본,5링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200103_11
2020 GV80,제네시스,6067~6951만원,I4,싱글터보,2497cc,가솔린,자동9.7km/ℓ(4등급),5인승,후륜구동,자동8단,304hp,43.0kg.m,정보없음,정보없음,175.0g/km,4945mm,1975mm,1715mm,2955mm,1674mm,1689mm,2025kg,265mm/55/19inch,265mm/55/19inch,더블위시본,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200117_65
2020 팰리세이드,현대자동차,3573~5563만원,V6,자연흡기,3778cc,가솔린,자동9.3~9.6km/ℓ(4등급~5등급),7~8인승,전륜구동,자동8단,295hp,36.2kg.m,정보없음,정보없음,178.0~184.0g/km,4980mm,1975mm,1750mm,2900mm,1708mm,1716mm,1880~1890kg,245mm/50~60/18~20inch,245mm/50~60/18~20inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200506_22
2020 쏘렌토,기아자동차,3024~4113만원,I4,싱글터보,2151cc,디젤,DCT14.3km/ℓ(2등급),5인승,전륜구동,자동(DCT)8단,202hp,45.0kg.m,정보없음,정보없음,133.0g/km,4810mm,1900mm,1695~1700mm,2815mm,1646mm,1656mm,1755kg,235mm/60/18inch,235mm/60/18inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200218_23
2020 벤츠 S클래스,메르세데스-벤츠,1억3460~2억960만원,l6,싱글터보,2925cc,디젤,자동11.0km/ℓ(4등급),5인승,풀타임4륜구동,자동9단,286hp,61.2kg.m,250km/h,5.8초,176.0g/km,5140mm,1905mm,1500mm,3035mm,1630mm,1640mm,2190kg,245mm/45/19inch,275mm/40/19inch,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200414_28
2020 아우디 A6,아우디,6500~9900만원,I4,싱글터보,1984cc,가솔린,자동11.8km/ℓ(3등급),5인승,전륜구동,자동7단,252hp,37.7kg.m,210km/h,7.0초,144.0g/km,4950mm,1885mm,1460mm,2924mm,1626mm,1621mm,1755~1765kg,225mm/55/18inch,225mm/55/18inch,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20191104_13
2020 쉐보레 트래버스,쉐보레,4520~5522만원,V6,자연흡기,3564cc,가솔린,자동8.3km/ℓ(5등급),7인승,풀타임4륜구동,자동9단,314hp,36.8kg.m,정보없음,정보없음,211.0g/km,5200mm,2000mm,1785mm,3073mm,1709mm,1702mm,정보없음,255mm/55/20inch,255mm/55/20inch,맥퍼슨스트럿,5링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20190903_67
2020 K5,기아자동차,2351~3141만원,I4,자연흡기,1999cc,가솔린,자동11.3~13.0km/ℓ(3등급),5인승,전륜구동,자동6단,160hp,20.0kg.m,정보없음,정보없음,129.0~132.0g/km,4905mm,1860mm,1445mm,2850mm,1618~1623mm,1625~1630mm,1415~1435kg,215~235mm/45~55/17~18inch,215~235mm/45~55/17~18inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20191121_22
2020 벤츠 GLC클래스,메르세데스-벤츠,6840~7810만원,I4,싱글터보,1950cc,디젤,정보없음,5인승,풀타임4륜구동,자동9단,194hp,정보없음,정보없음,정보없음,정보없음,4670mm,1900mm,1640mm,2875mm,정보없음,정보없음,정보없음,235mm/55/19inch,235mm/55/19inch,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200113_40
2021 SM6,르노삼성,2401~3422만원,I4,싱글터보,1998cc,LPG,CVT9.4~9.5km/ℓ(4등급),5인승,전륜구동,자동(CVT),140hp,19.7kg.m,정보없음,정보없음,137.0~139.0g/km,4855mm,1870mm,1460mm,2810mm,1615mm,1610mm,1475~1510kg,205~245mm/45~65/16~18inch,205~245mm/45~65/16~18inch,맥퍼슨스트럿,어댑티브모션링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200715_23
2020 BMW 3시리즈,BMW,5020~8150만원,I4,싱글터보,1998cc,가솔린,토크컨버터11.0km/ℓ(4등급),5인승,후륜구동,토크컨버터8단,184hp,30.6kg.m,235km/h,7.1초,154.0g/km,4710mm,1825mm,1435mm,2851mm,1589mm,1604mm,1605kg,225mm/45~50/17~18inch,225mm/45~50/17~18inch,더블조인트스트럿,5링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200103_20
2020 XM3,르노삼성,1719~2532만원,I4,자연흡기,1598cc,가솔린,CVT13.4km/ℓ(3등급),5인승,전륜구동,자동(CVT),123hp,15.8kg.m,정보없음,정보없음,123.0g/km,4570mm,1820mm,1570mm,2720mm,1565mm,1585mm,1300kg,215mm/60~65/16~17inch,215mm/60~65/16~17inch,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200221_27
2020 투싼,현대자동차,2255~3293만원,l4,싱글터보,1591cc,가솔린,DCT11.3~11.9km/ℓ(3등급~4등급),5인승,전륜구동,자동(DCT)7단,177hp,27.0kg.m,정보없음,정보없음,141.0~148.0g/km,4475~4480mm,1850mm,1645~1650mm,2670mm,1608mm,1620mm,1515~1550kg,225~245mm/45~60/17~19inch,225~245mm/45~60/17~19inch,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20191010_42
2020 G70,제네시스,3848~5620만원,l4,싱글터보,1998cc,가솔린,자동10.4~10.7km/ℓ(4등급),5인승,후륜구동,자동8단,252~255hp,36.0kg.m,정보없음,정보없음,156.0~161.0g/km,4685mm,1850mm,1400mm,2835mm,1596mm,1604~1632mm,1600~1635kg,225mm/40~45/18~19inch,225~255mm/35~45/18~19inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200123_21
2019 베뉴,현대자동차,1473~2111만원,I4,자연흡기,1598cc,가솔린,수동13.6km/ℓ(3등급)CVT13.3~13.7km/ℓ(3등급),5인승,전륜구동,수동6단자동(CVT),123hp,15.7kg.m,정보없음,정보없음,121.0~125.0g/km,4040mm,1770mm,1565~1585mm,2520mm,1535~1555mm,1546~1565mm,1155~1215kg,185~205mm/55~65/15~17inch,185~205mm/55~65/15~17inch,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200214_18
2020 코나,현대자동차,1914~2624만원,I4,싱글터보,1591cc,가솔린,DCT12.6~12.8km/ℓ(3등급),5인승,전륜구동,자동(DCT)7단,177hp,27.0kg.m,정보없음,정보없음,128.0~131.0g/km,4165mm,1800mm,1565mm,2600mm,1575mm,1584mm,1320~1330kg,205~215mm/55~60/16~17inch,205~215mm/55~60/16~17inch,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20190912_29
2020 벤츠 CLS클래스,메르세데스-벤츠,8750~1억960만원,I4,정보없음,1950cc,디젤,자동13.0km/ℓ(3등급),5인승,후륜구동,자동9단,245hp,51.0kg.m,250km/h,6.4초,146.0g/km,4990mm,1890mm,1430mm,2940mm,1635mm,1630mm,1860kg,245mm/40/19inch,275mm/35/19inch,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200408_51
2020 쏘나타,현대자동차,2386~3367만원,I4,자연흡기,1999cc,가솔린,자동13.0~13.3km/ℓ(3등급),5인승,전륜구동,자동6단,160hp,20.0kg.m,정보없음,정보없음,126.0~129.0g/km,4900mm,1860mm,1445mm,2840mm,1618~1633mm,1625~1640mm,1405~1470kg,205~235mm/45~65/16~18inch,205~235mm/45~65/16~18inch,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200423_3/
2021 G90,제네시스,7903~1억3253만원,V6,자연흡기,3778cc,가솔린,자동8.9km/ℓ(5등급),5인승,후륜구동,자동8단,315hp,40.5kg.m,정보없음,정보없음,192.0g/km,5205mm,1915mm,1495mm,3160mm,1630mm,1659mm,2020kg,245mm/50/18inch,245mm/50/18inch,멀티링크,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200626_33
2019 니로 하이브리드,기아자동차,2420~2993만원,I4,자연흡기,1580cc,전기가솔린,DCT19.5km/ℓ(하이브리드),5인승,전륜구동,자동(DCT)6단,105hp,15.0kg.m,정보없음,정보없음,79.0g/km,4355mm,1805mm,1545mm,2700mm,1565mm,1579mm,1425kg,205mm/60/16inch,205mm/60/16inch,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20190827_20
2020 BMW X4,BMW,6460~9110만원,I4,싱글터보,1998cc,가솔린,자동9.5km/ℓ(4등급),5인승,풀타임4륜구동,자동8단,184hp,29.6kg.m,210km/h,8.3초,181.0g/km,4750mm,1920mm,1620mm,2864mm,정보없음,정보없음,1905kg,245mm/50/19inch,245mm/50/19inch,더블위시본,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20200414_65
2020 QM6,르노삼성,2317~3787만원,I4,자연흡기,1998cc,LPG,CVT8.6~8.9km/ℓ(5등급),5인승,전륜구동,자동(CVT),140hp,19.7kg.m,정보없음,정보없음,147.0~153.0g/km,4675mm,1845mm,1670mm,2705mm,1595mm,1590mm,정보없음,225mm/55~65/17~19inch,225mm/55~65/17~19inch,맥퍼슨스트럿,멀티링크,V디스크,V디스크,랙앤피니언,https://imgauto-phinf.pstatic.net/20190617_89
